"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\pages\SyncProductButton.page","1","55","VfCsrf","Avoid calling VF action upon page load","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_visualforce_security.html#vfcsrf","Security","pmd"
"2","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","15","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","22","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","22","19","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","32","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"6","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","32","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"7","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","33","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"8","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","33","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"9","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","42","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"10","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","42","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"11","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","53","20","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"12","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\OrgAAPIClient.cls","53","20","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"13","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\ScheduledProductSync.cls","15","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"14","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\ScheduledProductSync.cls","16","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"15","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","7","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"16","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","10","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"17","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","20","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"18","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","20","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"19","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","21","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"20","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","21","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"21","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","28","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"22","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","28","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"23","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","39","20","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"24","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\SyncProductController.cls","39","20","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"25","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\UserApi.cls","16","21","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"26","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\UserApi.cls","23","19","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"27","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\UserApi.cls","23","19","ApexDoc","Missing ApexDoc @return","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"28","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\UserApi.cls","39","20","ApexDoc","Missing ApexDoc @description","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"29","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\UserApi.cls","39","20","ApexDoc","Missing or mismatched ApexDoc @param","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"30","3","3","C:\Users\pc\Documents\work\codes\orgB\force-app\main\default\classes\UserApi.cls","49","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.5.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
